feature,mean_abs_shap,rank
imputed_age_value_collapsed_above_80,0.5344458078374531,1
would_you_say_that_in_general_your_health_is,0.3073024106178742,2
are_you_currently_taking_medicine_prescribed_by_your_doctor_or_other_health_professional_for_your_cholesterol_yes,0.27603684540836887,3
adults_who_have_been_told_they_have_high_blood_pressure_by_a_doctor_nurse_or_other_health_professional_yes,0.24592450358595433,4
respondents_that_have_ever_reported_having_coronary_heart_disease_chd_or_myocardial_infarction_mi_reported_having_mi_or_chd,0.17308006395688502,5
are_you_currently_employed_for_wages,0.13774361360822485,6
what_is_the_highest_grade_or_year_of_school_you_completed,0.07592930572919454,7
are_you_currently_unable_to_work,0.07364580568586675,8
is_your_annual_household_income_from_all_sources_if_respondent_refuses_at_any_income_level_code_refused,0.06439787318777919,9
now_thinking_about_your_physical_health_which_includes_physical_illness_and_injury_for_how_many_days_during_the_past_30_days_was_your_physical_health_not_good,0.05302598042324656,10
now_thinking_about_your_mental_health_which_includes_stress_depression_and_problems_with_emotions_for_how_many_days_during_the_past_30_days_was_your_mental_health_not_good,0.04971250958568168,11
are_you_marital_status_married,0.045846587037075226,12
ever_told_you_had_diabetes_if_yes_and_respondent_is_female_ask_was_this_only_when_you_were_pregnant_if_respondent_says_pre_diabetes_or_borderline_diabetes_use_response_code_4_yes,0.04250779085748033,13
minutes_of_physical_activity_per_week_for_first_activity,0.040008255160631605,14
ever_told_you_had_a_heart_attack_also_called_a_myocardial_infarction_yes,0.039859536897812305,15
body_mass_index_bmi,0.0362471132858491,16
four_level_smoker_status_everyday_smoker_someday_smoker_former_smoker_non_smoker_current_smoker,0.036163314274725133,17
have_you_ever_been_told_by_a_doctor_nurse_or_other_health_professional_that_your_cholesterol_is_high_yes,0.03523123233664755,18
four_level_smoker_status_everyday_smoker_someday_smoker_former_smoker_non_smoker_never_smoked,0.030900778219104513,19
not_including_kidney_stones_bladder_infection_or_incontinence_were_you_ever_told_you_had_kidney_disease_yes,0.02240003340434701,20
ever_told_you_had_diabetes_if_yes_and_respondent_is_female_ask_was_this_only_when_you_were_pregnant_if_respondent_says_pre_diabetes_or_borderline_diabetes_use_response_code_4_no,0.019718068057941837,21
have_you_smoked_at_least_100_cigarettes_in_your_entire_life_note_5_packs_100_cigarettes_yes,0.01367224962694464,22
are_you_marital_status_never_married,0.01362054440195086,23
are_you_currently_retired,0.012162279149455776,24
not_including_kidney_stones_bladder_infection_or_incontinence_were_you_ever_told_you_had_kidney_disease_no,0.012095794448052345,25
are_you_currently_self_employed,0.009716038832922661,26
sex_of_respondent_male,0.009054663218408813,27
are_you_marital_status_divorced,0.009011897363016063,28
during_the_past_month_other_than_your_regular_job_did_you_participate_in_any_physical_activities_or_exercises_such_as_running_calisthenics_golf_gardening_or_walking_for_exercise_yes,0.007109533111364796,29
are_you_marital_status_separated,0.006354440784326947,30
adults_that_participated_in_greater_than_300_minutes_or_vigorous_equivalent_minutes_of_physical_activity_per_week_2_levels_301_minutes_or_vigorous_equivalent_minutes_of_physical_activity,0.0046871192822833824,31
are_you_marital_status_widowed,0.004154000063646604,32
are_you_marital_status_a_member_of_an_unmarried_couple,0.0027353104595611525,33
are_you_currently_out_of_work_for_1_year_or_more,0.0022796167458328477,34
are_you_currently_a_student,0.002145700116152726,35
ever_told_you_had_angina_or_coronary_heart_disease_yes,0.0018730994928834552,36
four_level_smoker_status_everyday_smoker_someday_smoker_former_smoker_non_smoker_former_smoker,0.0014304286138871751,37
has_a_doctor_or_other_health_professional_ever_told_you_that_you_had_prediabetes_or_borderline_diabetes_if_yes_and_respondent_is_female_ask_was_this_only_when_you_were_pregnant_yes,0.0009594500591672902,38
physical_activity_index_meet_aerobic_recommendations,0.000531236690416674,39
ever_told_you_had_diabetes_if_yes_and_respondent_is_female_ask_was_this_only_when_you_were_pregnant_if_respondent_says_pre_diabetes_or_borderline_diabetes_use_response_code_4_no_pre_diabetes_or_borderline_diabetes,0.0005185142253826242,40
has_a_doctor_or_other_health_professional_ever_told_you_that_you_had_prediabetes_or_borderline_diabetes_if_yes_and_respondent_is_female_ask_was_this_only_when_you_were_pregnant_no,0.0004977806050515436,41
has_a_doctor_or_other_health_professional_ever_told_you_that_you_had_prediabetes_or_borderline_diabetes_if_yes_and_respondent_is_female_ask_was_this_only_when_you_were_pregnant_yes_during_pregnancy,0.0004414845265591226,42
adults_who_reported_doing_physical_activity_or_exercise_during_the_past_30_days_other_than_their_regular_job_no_physical_activity_or_exercise_in_last_30_days,0.0003314711146306878,43
are_you_currently_out_of_work_for_less_than_1_year,0.00022929878523693313,44
ever_told_you_had_diabetes_if_yes_and_respondent_is_female_ask_was_this_only_when_you_were_pregnant_if_respondent_says_pre_diabetes_or_borderline_diabetes_use_response_code_4_yes_but_female_told_only_during_pregnancy,0.00014619324020040633,45
are_you_currently_a_homemaker,0.00011891726641291591,46
not_including_kidney_stones_bladder_infection_or_incontinence_were_you_ever_told_you_had_kidney_disease_don_t_know_not_sure,0.0,47
