feature,mean_abs_shap,rank
imputed_age_value_collapsed_above_80,0.05887472846766587,1
are_you_currently_taking_medicine_prescribed_by_your_doctor_or_other_health_professional_for_your_cholesterol_yes,0.05369446169995707,2
would_you_say_that_in_general_your_health_is,0.05157365457464708,3
adults_who_have_been_told_they_have_high_blood_pressure_by_a_doctor_nurse_or_other_health_professional_yes,0.04923244565092491,4
respondents_that_have_ever_reported_having_coronary_heart_disease_chd_or_myocardial_infarction_mi_reported_having_mi_or_chd,0.046815887823649684,5
ever_told_you_had_a_heart_attack_also_called_a_myocardial_infarction_yes,0.02052060980034523,6
are_you_currently_retired,0.01915129698419013,7
are_you_currently_unable_to_work,0.01595886987716425,8
have_you_ever_been_told_by_a_doctor_nurse_or_other_health_professional_that_your_cholesterol_is_high_yes,0.014888469705816832,9
is_your_annual_household_income_from_all_sources_if_respondent_refuses_at_any_income_level_code_refused,0.012185553243805205,10
four_level_smoker_status_everyday_smoker_someday_smoker_former_smoker_non_smoker_never_smoked,0.011234903491572487,11
what_is_the_highest_grade_or_year_of_school_you_completed,0.0111755034058378,12
are_you_marital_status_married,0.010425367489423373,13
body_mass_index_bmi,0.010187340281651133,14
are_you_currently_employed_for_wages,0.009334311219919462,15
now_thinking_about_your_physical_health_which_includes_physical_illness_and_injury_for_how_many_days_during_the_past_30_days_was_your_physical_health_not_good,0.008602766043603178,16
four_level_smoker_status_everyday_smoker_someday_smoker_former_smoker_non_smoker_current_smoker,0.007942744526928284,17
not_including_kidney_stones_bladder_infection_or_incontinence_were_you_ever_told_you_had_kidney_disease_yes,0.007593654405660929,18
adults_who_reported_doing_physical_activity_or_exercise_during_the_past_30_days_other_than_their_regular_job_no_physical_activity_or_exercise_in_last_30_days,0.007474820456495511,19
sex_of_respondent_male,0.007190217124118938,20
now_thinking_about_your_mental_health_which_includes_stress_depression_and_problems_with_emotions_for_how_many_days_during_the_past_30_days_was_your_mental_health_not_good,0.0068332185259624405,21
ever_told_you_had_diabetes_if_yes_and_respondent_is_female_ask_was_this_only_when_you_were_pregnant_if_respondent_says_pre_diabetes_or_borderline_diabetes_use_response_code_4_no,0.006095470411418937,22
ever_told_you_had_angina_or_coronary_heart_disease_yes,0.005956216654176818,23
are_you_marital_status_separated,0.005640349169294355,24
adults_that_participated_in_greater_than_300_minutes_or_vigorous_equivalent_minutes_of_physical_activity_per_week_2_levels_301_minutes_or_vigorous_equivalent_minutes_of_physical_activity,0.00547943008414004,25
ever_told_you_had_diabetes_if_yes_and_respondent_is_female_ask_was_this_only_when_you_were_pregnant_if_respondent_says_pre_diabetes_or_borderline_diabetes_use_response_code_4_yes,0.005426934603005646,26
not_including_kidney_stones_bladder_infection_or_incontinence_were_you_ever_told_you_had_kidney_disease_no,0.005156624094876458,27
physical_activity_index_meet_aerobic_recommendations,0.0044109497232455806,28
have_you_smoked_at_least_100_cigarettes_in_your_entire_life_note_5_packs_100_cigarettes_yes,0.004109894742527979,29
four_level_smoker_status_everyday_smoker_someday_smoker_former_smoker_non_smoker_former_smoker,0.004015006393450314,30
has_a_doctor_or_other_health_professional_ever_told_you_that_you_had_prediabetes_or_borderline_diabetes_if_yes_and_respondent_is_female_ask_was_this_only_when_you_were_pregnant_no,0.003921921350690541,31
are_you_marital_status_divorced,0.0038164878446143094,32
are_you_marital_status_widowed,0.0035874108334677263,33
minutes_of_physical_activity_per_week_for_first_activity,0.0022316955628863076,34
has_a_doctor_or_other_health_professional_ever_told_you_that_you_had_prediabetes_or_borderline_diabetes_if_yes_and_respondent_is_female_ask_was_this_only_when_you_were_pregnant_yes,0.002188549924944528,35
has_a_doctor_or_other_health_professional_ever_told_you_that_you_had_prediabetes_or_borderline_diabetes_if_yes_and_respondent_is_female_ask_was_this_only_when_you_were_pregnant_yes_during_pregnancy,0.001959195318119598,36
are_you_currently_self_employed,0.0018454377964930615,37
ever_told_you_had_diabetes_if_yes_and_respondent_is_female_ask_was_this_only_when_you_were_pregnant_if_respondent_says_pre_diabetes_or_borderline_diabetes_use_response_code_4_yes_but_female_told_only_during_pregnancy,0.001801559861982241,38
are_you_currently_a_homemaker,0.0016368769162369418,39
during_the_past_month_other_than_your_regular_job_did_you_participate_in_any_physical_activities_or_exercises_such_as_running_calisthenics_golf_gardening_or_walking_for_exercise_yes,0.0015022409460321066,40
are_you_marital_status_a_member_of_an_unmarried_couple,0.00126137763118255,41
are_you_currently_a_student,0.000814332887066994,42
are_you_marital_status_never_married,0.0007875428230979001,43
ever_told_you_had_diabetes_if_yes_and_respondent_is_female_ask_was_this_only_when_you_were_pregnant_if_respondent_says_pre_diabetes_or_borderline_diabetes_use_response_code_4_no_pre_diabetes_or_borderline_diabetes,0.00040002475555986155,44
are_you_currently_out_of_work_for_1_year_or_more,0.00026926709595136356,45
are_you_currently_out_of_work_for_less_than_1_year,0.00023365265042055402,46
not_including_kidney_stones_bladder_infection_or_incontinence_were_you_ever_told_you_had_kidney_disease_don_t_know_not_sure,2.291997075080876e-06,47
